Compiling for 128 parallel environments...
Compilation time: 1.0869s
Running benchmark (1 samples)...

Results saved to: times.json
Collecting data...
Generating '/tmp/nsys-report-7638.qdstrm'

[1/8] [0%                          ] octax_nsys.nsys-rep
[1/8] [========================100%] octax_nsys.nsys-rep

[2/8] [0%                          ] octax_nsys.sqlite
[2/8] [========================100%] octax_nsys.sqlite
[3/8] Executing 'nvtx_sum' stats report

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)    Style                                                  Range                                                
      0,0              411          1            411,0            411,0            411            411           0,0  PushPop  TSL:XlaPass:#name=eigh_expander,module=jit_iota,program_id=9#                                       
      0,0              411          1            411,0            411,0            411            411           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_convert_element_type,program_id=3#                         
      0,0              411          1            411,0            411,0            411            411           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_broadcast_in_dim,program_id=27#                     
      0,0              411          1            411,0            411,0            411            411           0,0  PushPop  TSL:XlaPass:#name=stable-sort-expander,module=jit_convert_element_type,program_id=15#               
      0,0              410          1            410,0            410,0            410            410           0,0  PushPop  TSL:XlaPass:#name=all-gather-to-collective-permute-simplifier,module=jit_convert_element_type,progr…
      0,0              410          1            410,0            410,0            410            410           0,0  PushPop  TSL:XlaPass:#name=convolution_4d_expander,module=jit_iota,program_id=7#                             
      0,0              410          1            410,0            410,0            410            410           0,0  PushPop  TSL:XlaPass:#name=eigh_expander,module=jit__squeeze,program_id=39#                                  
      0,0              410          1            410,0            410,0            410            410           0,0  PushPop  TSL:XlaPass:#name=rng-bit-generator-expander,module=jit_convert_element_type,program_id=29#         
      0,0              410          1            410,0            410,0            410            410           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_squeeze,program…
      0,0              409          1            409,0            409,0            409            409           0,0  PushPop  TSL:XlaPass:#name=dot_dimension_merger,module=jit_iota,program_id=9#                                
      0,0              409          1            409,0            409,0            409            409           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_convert_element_type,program_id=3#                     
      0,0              409          1            409,0            409,0            409            409           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_broadcast_in_dim,program_id=75#                            
      0,0              409          1            409,0            409,0            409            409           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_broadcast_in_dim,program_id=33#                     
      0,0              409          1            409,0            409,0            409            409           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_convert_element_type,program_id=25#        
      0,0              408          1            408,0            408,0            408            408           0,0  PushPop  TSL:XlaPass:#name=convolution_4d_expander,module=jit_convert_element_type,program_id=17#            
      0,0              408          1            408,0            408,0            408            408           0,0  PushPop  TSL:XlaPass:#name=convolution_4d_expander,module=jit_convert_element_type,program_id=43#            
      0,0              408          1            408,0            408,0            408            408           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit_convert_element_type,program_id=23#                   
      0,0              408          1            408,0            408,0            408            408           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit_convert_element_type,program_id=43#                   
      0,0              408          1            408,0            408,0            408            408           0,0  PushPop  TSL:XlaPass:#name=splitk-rewriter,module=jit_broadcast_in_dim,program_id=81#                        
      0,0              408          1            408,0            408,0            408            408           0,0  PushPop  TSL:XlaPass:#name=stochastic_convert_decomposer,module=jit__squeeze,program_id=39#                  
      0,0              407          1            407,0            407,0            407            407           0,0  PushPop  TSL:XlaPass:#name=cse_barrier_expander,module=jit_convert_element_type,program_id=15#               
      0,0              407          1            407,0            407,0            407            407           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_broadcast_in_dim,program_id=83#                        
      0,0              407          1            407,0            407,0            407            407           0,0  PushPop  TSL:XlaPass:#name=gather_simplifier,module=jit_broadcast_in_dim,program_id=27#                      
      0,0              407          1            407,0            407,0            407            407           0,0  PushPop  TSL:XlaPass:#name=gpu_scatter_expander,module=jit_convert_element_type,program_id=43#               
      0,0              407          1            407,0            407,0            407            407           0,0  PushPop  TSL:XlaPass:#name=reduce-scatter-creator,module=jit__squeeze,program_id=39#                         
      0,0              407          1            407,0            407,0            407            407           0,0  PushPop  TSL:XlaPass:#name=rng-expander,module=jit_iota,program_id=7#                                        
      0,0              406          1            406,0            406,0            406            406           0,0  PushPop  TSL:XlaPass:#name=comparison-expander,module=jit_convert_element_type,program_id=29#                
      0,0              406          1            406,0            406,0            406            406           0,0  PushPop  TSL:XlaPass:#name=dot_dimension_merger,module=jit_convert_element_type,program_id=15#               
      0,0              406          1            406,0            406,0            406            406           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_convert_element_type,program_id=43#        
      0,0              405          1            405,0            405,0            405            405           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_broadcast_in_dim,program_id=33#                        
      0,0              405          1            405,0            405,0            405            405           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_broadcast_in_dim,program_id=75#                        
      0,0              405          1            405,0            405,0            405            405           0,0  PushPop  TSL:XlaPass:#name=gather_simplifier,module=jit_broadcast_in_dim,program_id=31#                      
      0,0              405          1            405,0            405,0            405            405           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit_broadcast_in_dim,program_id=11#                       
      0,0              405          1            405,0            405,0            405            405           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_convert_element_type,program_id=53#        
      0,0              405          1            405,0            405,0            405            405           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              404          1            404,0            404,0            404            404           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_broadcast_in_dim,program_id=31#                   
      0,0              404          1            404,0            404,0            404            404           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit__squeeze,program_id=39#                    
      0,0              404          1            404,0            404,0            404            404           0,0  PushPop  TSL:XlaPass:#name=splitk-rewriter,module=jit_scatter,program_id=47#                                 
      0,0              403          1            403,0            403,0            403            403           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_broadcast_in_dim,program_id=11#                   
      0,0              403          1            403,0            403,0            403            403           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_broadcast_in_dim,program_id=27#                         
      0,0              403          1            403,0            403,0            403            403           0,0  PushPop  TSL:XlaPass:#name=explicit-stream-annotation-async-wrapper,module=jit__squeeze,program_id=45#       
      0,0              403          1            403,0            403,0            403            403           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              402          1            402,0            402,0            402            402           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_broadcast_in_dim,program_id=37#                         
      0,0              402          1            402,0            402,0            402            402           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_broadcast_in_dim,program_id=71#                         
      0,0              402          1            402,0            402,0            402            402           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_convert_element_type,program_id=15#                    
      0,0              402          1            402,0            402,0            402            402           0,0  PushPop  TSL:XlaPass:#name=logistic-expander,module=jit_broadcast_in_dim,program_id=31#                      
      0,0              402          1            402,0            402,0            402            402           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_broadcast_in_dim,program_id=13#                            
      0,0              402          1            402,0            402,0            402            402           0,0  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_convert_element_type,program_id=3#            
      0,0              402          1            402,0            402,0            402            402           0,0  PushPop  TSL:XlaPass:#name=stable-sort-expander,module=jit_convert_element_type,program_id=29#               
      0,0              401          1            401,0            401,0            401            401           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_convert_element_type,program_id=43#               
      0,0              401          1            401,0            401,0            401            401           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit__squeeze,program_id=45#                                
      0,0              401          1            401,0            401,0            401            401           0,0  PushPop  TSL:XlaPass:#name=gpu_scatter_expander,module=jit_broadcast_in_dim,program_id=19#                   
      0,0              401          1            401,0            401,0            401            401           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_convert_element_type,program_id=25#                        
      0,0              401          1            401,0            401,0            401            401           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_convert_element_type,program_id=53#                        
      0,0              401          1            401,0            401,0            401            401           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_dynamic_slice,program_id=49#                        
      0,0              401          1            401,0            401,0            401            401           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_iota,program_id=7#                                  
      0,0              400          1            400,0            400,0            400            400           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_iota,program_id=9#                                     
      0,0              400          1            400,0            400,0            400            400           0,0  PushPop  TSL:XlaPass:#name=reduction-layout-normalizer,module=jit_convert_element_type,program_id=29#        
      0,0              400          1            400,0            400,0            400            400           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit_broadcast_in_dim,program_id=19#                       
      0,0              399          1            399,0            399,0            399            399           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_iota,program_id=9#                                         
      0,0              398          1            398,0            398,0            398            398           0,0  PushPop  TSL:XlaPass:#name=cse_barrier_expander,module=jit_broadcast_in_dim,program_id=31#                   
      0,0              398          1            398,0            398,0            398            398           0,0  PushPop  TSL:XlaPass:#name=cse_barrier_expander,module=jit_convert_element_type,program_id=1#                
      0,0              398          1            398,0            398,0            398            398           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_convert_element_type,program_id=29#                        
      0,0              398          1            398,0            398,0            398            398           0,0  PushPop  TSL:XlaPass:#name=rng-bit-generator-expander,module=jit_broadcast_in_dim,program_id=27#             
      0,0              398          1            398,0            398,0            398            398           0,0  PushPop  TSL:XlaPass:#name=rng-bit-generator-expander,module=jit_convert_element_type,program_id=17#         
      0,0              398          1            398,0            398,0            398            398           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit__threefry_split…
      0,0              397          1            397,0            397,0            397            397           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_broadcast_in_dim,program_id=83#                         
      0,0              397          1            397,0            397,0            397            397           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_convert_element_type,program_id=15#                     
      0,0              397          1            397,0            397,0            397            397           0,0  PushPop  TSL:XlaPass:#name=rng-expander,module=jit_convert_element_type,program_id=25#                       
      0,0              397          1            397,0            397,0            397            397           0,0  PushPop  TSL:XlaPass:#name=rng-expander,module=jit_convert_element_type,program_id=29#                       
      0,0              397          1            397,0            397,0            397            397           0,0  PushPop  TSL:XlaPass:#name=stochastic_convert_decomposer,module=jit_broadcast_in_dim,program_id=19#          
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_convert_element_type,program_id=3#                
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_convert_element_type,program_id=25#                     
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPass:#name=rename_fusions,module=jit_convert_element_type,program_id=17#                     
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_convert_element_type,program_id=1#            
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit_convert_element_type,program_id=17#                   
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_iota,program_id…
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_iota,program_id…
      0,0              396          1            396,0            396,0            396            396           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_remainder,progr…
      0,0              393          1            393,0            393,0            393            393           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              392          1            392,0            392,0            392            392           0,0  PushPop  TSL:XlaPass:#name=comparison-expander,module=jit_iota,program_id=7#                                 
      0,0              392          1            392,0            392,0            392            392           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_iota,program_id=7#                         
      0,0              392          1            392,0            392,0            392            392           0,0  PushPop  TSL:XlaPass:#name=simplify-sorts,module=jit_broadcast_in_dim,program_id=31#                         
      0,0              391          1            391,0            391,0            391            391           0,0  PushPop  TSL:XlaPass:#name=eigh_expander,module=jit_convert_element_type,program_id=1#                       
      0,0              391          1            391,0            391,0            391            391           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_broadcast_in_dim,program_id=31#                     
      0,0              391          1            391,0            391,0            391            391           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit_convert_element_type,program_id=1#    
      0,0              391          1            391,0            391,0            391            391           0,0  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_convert_element_type,program_id=25#           
      0,0              391          1            391,0            391,0            391            391           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit_iota,program_id=9#                                    
      0,0              391          1            391,0            391,0            391            391           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_convert_element_type,program_id=23#        
      0,0              391          1            391,0            391,0            391            391           0,0  PushPop  TSL:XlaPassPipeline:#name=autotune-fusion-emitters,module=jit_broadcast_in_dim,program_id=73#       
      0,0              390          1            390,0            390,0            390            390           0,0  PushPop  TSL:XlaPass:#name=cse_barrier_expander,module=jit__squeeze,program_id=45#                           
      0,0              389          1            389,0            389,0            389            389           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_convert_element_type,program_id=21#               
      0,0              389          1            389,0            389,0            389            389           0,0  PushPop  TSL:XlaPass:#name=conv-rewriter,module=jit__squeeze,program_id=39#                                  
      0,0              389          1            389,0            389,0            389            389           0,0  PushPop  TSL:XlaPass:#name=cse_barrier_expander,module=jit__squeeze,program_id=39#                           
      0,0              389          1            389,0            389,0            389            389           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_floor_divide,pr…
      0,0              388          1            388,0            388,0            388            388           0,0  PushPop  TSL:XlaPass:#name=convolution_4d_expander,module=jit_convert_element_type,program_id=23#            
      0,0              388          1            388,0            388,0            388            388           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_broadcast_in_dim,program_id=31#            
      0,0              387          1            387,0            387,0            387            387           0,0  PushPop  TSL:XlaPass:#name=conv-rewriter,module=jit__squeeze,program_id=45#                                  
      0,0              387          1            387,0            387,0            387            387           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_iota,program_id=7#                                     
      0,0              387          1            387,0            387,0            387            387           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_convert_element_type,program_id=15#                        
      0,0              387          1            387,0            387,0            387            387           0,0  PushPop  TSL:XlaPassPipeline:#name=async-wrapper,module=jit_broadcast_in_dim,program_id=75#                  
      0,0              386          1            386,0            386,0            386            386           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_convert_element_type,program_id=17#                        
      0,0              385          1            385,0            385,0            385            385           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_convert_element_type,program_id=17#                     
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPass:#name=eigh_expander,module=jit_convert_element_type,program_id=15#                      
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_convert_element_type,program_id=21#                    
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPass:#name=gemv-rewriter,module=jit__squeeze,program_id=45#                                  
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit__squeeze,program_id=45#                                    
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_convert_element_type,program_id=23#                 
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit_convert_element_type,program_id=43#   
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              384          1            384,0            384,0            384            384           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_scatter,program…
      0,0              383          1            383,0            383,0            383            383           0,0  PushPop  TSL:XlaPass:#name=cse_barrier_expander,module=jit_multiply,program_id=61#                           
      0,0              383          1            383,0            383,0            383            383           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit__squeeze,program_id=45#               
      0,0              383          1            383,0            383,0            383            383           0,0  PushPop  TSL:XlaPass:#name=rng-bit-generator-expander,module=jit__squeeze,program_id=39#                     
      0,0              382          1            382,0            382,0            382            382           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit_iota,program_id=7#                    
      0,0              382          1            382,0            382,0            382            382           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              381          1            381,0            381,0            381            381           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_broadcast_in_dim,program_id=19#                   
      0,0              381          1            381,0            381,0            381            381           0,0  PushPop  TSL:XlaPass:#name=eigh_expander,module=jit__squeeze,program_id=45#                                  
      0,0              381          1            381,0            381,0            381            381           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit_convert_element_type,program_id=3#    
      0,0              380          1            380,0            380,0            380            380           0,0  PushPop  TSL:XlaPass:#name=conv-rewriter,module=jit_broadcast_in_dim,program_id=27#                          
      0,0              380          1            380,0            380,0            380            380           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_convert_element_type,program_id=43#                     
      0,0              380          1            380,0            380,0            380            380           0,0  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_convert_element_type,program_id=15#           
      0,0              379          1            379,0            379,0            379            379           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_broadcast_in_dim,program_id=31#                        
      0,0              379          1            379,0            379,0            379            379           0,0  PushPop  TSL:XlaPass:#name=gemv-rewriter,module=jit_convert_element_type,program_id=25#                      
      0,0              379          1            379,0            379,0            379            379           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_broadcast_in_dim,program_id=35#                     
      0,0              378          1            378,0            378,0            378            378           0,0  PushPop  TSL:XlaPass:#name=logistic-expander,module=jit__squeeze,program_id=45#                              
      0,0              378          1            378,0            378,0            378            378           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_iota,program_id=7#                                         
      0,0              378          1            378,0            378,0            378            378           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_reset,program_i…
      0,0              377          1            377,0            377,0            377            377           0,0  PushPop  TSL:XlaPass:#name=gemv-rewriter,module=jit_convert_element_type,program_id=1#                       
      0,0              377          1            377,0            377,0            377            377           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_convert_element_type,program_id=3#         
      0,0              376          1            376,0            376,0            376            376           0,0  PushPop  TSL:XlaPass:#name=dot_dimension_merger,module=jit_convert_element_type,program_id=3#                
      0,0              376          1            376,0            376,0            376            376           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit_iota,program_id=7#                                    
      0,0              376          1            376,0            376,0            376            376           0,0  PushPop  TSL:XlaPass:#name=splitk-rewriter,module=jit_multiply,program_id=61#                                
      0,0              376          1            376,0            376,0            376            376           0,0  PushPop  TSL:XlaPassPipeline:#name=autotune-fusion-emitters,module=jit_broadcast_in_dim,program_id=71#       
      0,0              375          1            375,0            375,0            375            375           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_broadcast_in_dim,program_id=73#                         
      0,0              375          1            375,0            375,0            375            375           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_squeeze,program_id=51#                                  
      0,0              375          1            375,0            375,0            375            375           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_broadcast_in_dim,program_id=27#                        
      0,0              375          1            375,0            375,0            375            375           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_squeeze,program_id=51#                              
      0,0              375          1            375,0            375,0            375            375           0,0  PushPop  TSL:XlaPass:#name=scatter_expander,module=jit__squeeze,program_id=45#                               
      0,0              373          1            373,0            373,0            373            373           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_iota,program_id=9#                                
      0,0              373          1            373,0            373,0            373            373           0,0  PushPop  TSL:XlaPass:#name=cse_barrier_expander,module=jit_convert_element_type,program_id=23#               
      0,0              373          1            373,0            373,0            373            373           0,0  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_convert_element_type,program_id=29#           
      0,0              373          1            373,0            373,0            373            373           0,0  PushPop  TSL:XlaPass:#name=splitk-rewriter,module=jit_floor_divide,program_id=55#                            
      0,0              372          1            372,0            372,0            372            372           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_convert_element_type,program_id=23#                    
      0,0              372          1            372,0            372,0            372            372           0,0  PushPop  TSL:XlaPass:#name=qr_expander,module=jit_broadcast_in_dim,program_id=31#                            
      0,0              372          1            372,0            372,0            372            372           0,0  PushPop  TSL:XlaPassPipeline:#name=autotune-fusion-emitters,module=jit__threefry_seed,program_id=5#          
      0,0              371          1            371,0            371,0            371            371           0,0  PushPop  TSL:XlaPass:#name=dot_dimension_merger,module=jit_convert_element_type,program_id=17#               
      0,0              371          1            371,0            371,0            371            371           0,0  PushPop  TSL:XlaPass:#name=splitk-rewriter,module=jit_broadcast_in_dim,program_id=37#                        
      0,0              371          1            371,0            371,0            371            371           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              370          1            370,0            370,0            370            370           0,0  PushPop  TSL:XlaPass:#name=simplify-sorts,module=jit_broadcast_in_dim,program_id=19#                         
      0,0              369          1            369,0            369,0            369            369           0,0  PushPop  TSL:XlaPass:#name=dot_dimension_merger,module=jit_convert_element_type,program_id=1#                
      0,0              369          1            369,0            369,0            369            369           0,0  PushPop  TSL:XlaPass:#name=gemv-rewriter,module=jit_convert_element_type,program_id=3#                       
      0,0              369          1            369,0            369,0            369            369           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit__squeeze,program_id=39#                             
      0,0              369          1            369,0            369,0            369            369           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_convert_element_type,program_id=53#                 
      0,0              369          1            369,0            369,0            369            369           0,0  PushPop  TSL:XlaPassPipeline:#name=autotune-fusion-emitters,module=jit_convert_element_type,program_id=15#   
      0,0              369          1            369,0            369,0            369            369           0,0  PushPop  TSL:XlaPassPipeline:#name=autotune-fusion-emitters,module=jit_remainder,program_id=57#              
      0,0              369          1            369,0            369,0            369            369           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              368          1            368,0            368,0            368            368           0,0  PushPop  TSL:XlaPassPipeline:#name=async-wrapper,module=jit_broadcast_in_dim,program_id=27#                  
      0,0              368          1            368,0            368,0            368            368           0,0  PushPop  TSL:XlaPassPipeline:#name=async-wrapper,module=jit_dynamic_slice,program_id=49#                     
      0,0              368          1            368,0            368,0            368            368           0,0  PushPop  TSL:XlaPassPipeline:#name=autotune-fusion-emitters,module=jit__squeeze,program_id=39#               
      0,0              367          1            367,0            367,0            367            367           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              366          1            366,0            366,0            366            366           0,0  PushPop  TSL:XlaPass:#name=gather_expander,module=jit_convert_element_type,program_id=43#                    
      0,0              366          1            366,0            366,0            366            366           0,0  PushPop  TSL:XlaPassPipeline:#name=async-wrapper,module=jit_multiply,program_id=61#                          
      0,0              365          1            365,0            365,0            365            365           0,0  PushPop  TSL:XlaPass:#name=splitk-rewriter,module=jit_remainder,program_id=57#                               
      0,0              364          1            364,0            364,0            364            364           0,0  PushPop  TSL:XlaPass:#name=dot_normalizer,module=jit_convert_element_type,program_id=3#                      
      0,0              364          1            364,0            364,0            364            364           0,0  PushPop  TSL:XlaPass:#name=select_and_scatter_expander,module=jit_broadcast_in_dim,program_id=27#            
      0,0              364          1            364,0            364,0            364            364           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              364          1            364,0            364,0            364            364           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              363          1            363,0            363,0            363            363           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              362          1            362,0            362,0            362            362           0,0  PushPop  TSL:XlaPass:#name=comparison-expander,module=jit_broadcast_in_dim,program_id=31#                    
      0,0              362          1            362,0            362,0            362            362           0,0  PushPop  TSL:XlaPass:#name=dot_dimension_merger,module=jit__squeeze,program_id=39#                           
      0,0              362          1            362,0            362,0            362            362           0,0  PushPop  TSL:XlaPassPipeline:#name=async-wrapper,module=jit_floor_divide,program_id=55#                      
      0,0              362          1            362,0            362,0            362            362           0,0  PushPop  TSL:XlaPassPipeline:#name=async-wrapper,module=jit_scatter,program_id=47#                           
      0,0              362          1            362,0            362,0            362            362           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              362          1            362,0            362,0            362            362           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_convert_element…
      0,0              361          1            361,0            361,0            361            361           0,0  PushPop  TSL:XlaPass:#name=dot_dimension_merger,module=jit_convert_element_type,program_id=21#               
      0,0              361          1            361,0            361,0            361            361           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit_convert_element_type,program_id=21#   
      0,0              360          1            360,0            360,0            360            360           0,0  PushPop  TSL:XlaPass:#name=real_imag_expander,module=jit_convert_element_type,program_id=3#                  
      0,0              360          1            360,0            360,0            360            360           0,0  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_convert_element_type,program_id=21#           
      0,0              360          1            360,0            360,0            360            360           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
      0,0              359          1            359,0            359,0            359            359           0,0  PushPop  TSL:XlaPass:#name=eigh_expander,module=jit_convert_element_type,program_id=43#                      
      0,0              359          1            359,0            359,0            359            359           0,0  PushPop  TSL:XlaPass:#name=gpu_scatter_expander,module=jit_convert_element_type,program_id=17#               
      0,0              358          1            358,0            358,0            358            358           0,0  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_iota,program_id=7#                            
      0,0              358          1            358,0            358,0            358            358           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion-verification-pipeline optimization,module=jit_broadcast_in_di…
